Term,Definition
Asset,"A resource with economic value that an individual, corporation, or country owns or controls with the expectation that it will provide future benefit."
Bond,A fixed income instrument that represents a loan made by an investor to a borrower.
Capital,"Wealth in the form of money or assets, taken as a sign of the financial strength of an individual, organization, or nation."
Dividend,A distribution of a portion of a company's earnings to a class of its shareholders.
Equity,The value of the shares issued by a company.
Fund,A pool of money set aside for a specific purpose.
Gross Domestic Product (GDP),The total value of goods produced and services provided in a country during one year.
Hedge,A strategy used to offset or reduce the risk of adverse price movements.
Index,A statistical measure of the changes in a portfolio of stocks representing a portion of the overall market.
Joint Venture,A business arrangement in which two or more parties agree to pool their resources for the purpose of accomplishing a specific task.
Key Performance Indicator (KPI),A measurable value that demonstrates how effectively a company is achieving key business objectives.
Liquidity,The availability of liquid assets to a market or company.
Market Capitalization,The total market value of a company's outstanding shares of stock.
Net Worth,The value of all assets minus the total of all liabilities.
Option,A financial derivative that represents a contract sold by one party to another party.
Portfolio,A range of investments held by a person or organization.
Quota,"A limited or fixed number or amount of people or things, in particular."
Return on Investment (ROI),A measure used to evaluate the efficiency or profitability of an investment.
Stock,The capital raised by a business or corporation through the issue and subscription of shares.
Treasury Bond,"A marketable, fixed-interest U.S. government debt security with a maturity of more than 10 years."
